iter	Passed	Remaining
0	0	25
1	0	24
2	0	24
3	0	22
4	1	23
5	1	22
6	1	22
7	1	21
8	2	20
9	2	20
10	2	19
11	2	19
12	2	18
13	3	18
14	3	18
15	3	17
16	3	17
17	3	17
18	3	16
19	4	16
20	4	16
21	4	16
22	4	15
23	4	15
24	5	15
25	5	15
26	5	14
27	5	14
28	5	14
29	6	14
30	6	13
31	6	13
32	6	13
33	6	13
34	7	13
35	7	12
36	7	12
37	7	12
38	7	12
39	7	11
40	8	11
41	8	11
42	8	11
43	8	10
44	8	10
45	9	10
46	9	10
47	9	10
48	9	9
49	9	9
50	9	9
51	10	9
52	10	9
53	10	8
54	10	8
55	10	8
56	11	8
57	11	8
58	11	7
59	11	7
60	11	7
61	11	7
62	12	7
63	12	6
64	12	6
65	12	6
66	12	6
67	13	6
68	13	5
69	13	5
70	13	5
71	13	5
72	14	5
73	14	4
74	14	4
75	14	4
76	14	4
77	14	4
78	15	4
79	15	3
80	15	3
81	15	3
82	15	3
83	16	3
84	16	2
85	16	2
86	16	2
87	16	2
88	17	2
89	17	1
90	17	1
91	17	1
92	17	1
93	18	1
94	18	0
95	18	0
96	18	0
97	18	0
98	18	0
99	19	0
